,recuperados,nuevos,fallecidos,muestras,date
0,130,2124,59,12564,2020/6/15
1,414,1868,75,12402,2020/6/16
2,960,2115,63,15230,2020/6/17
3,1354,3171,86,15391,2020/6/18
4,1308,3059,95,17713,2020/6/19
5,1511,2357,81,17498,2020/6/20
6,1861,3019,111,18451,2020/6/21
7,1608,2531,73,16015,2020/6/22
8,1491,2389,94,14323,2020/6/23
9,1212,3541,87,16981,2020/6/24
10,1678,3486,163,18501,2020/6/25
11,1588,3843,157,18866,2020/6/26
12,1336,4149,128,18729,2020/6/27
13,2007,3178,167,18140,2020/6/28
14,1674,3274,117,17609,2020/6/29
15,2119,2803,111,17282,2020/6/30
16,1334,4163,136,18054,2020/7/1
17,1124,4101,171,19335,2020/7/2
18,803,3395,136,20595,2020/7/3
19,1229,3884,165,21028,2020/7/4
20,1318,3721,122,21000,2020/7/5
21,2489,3171,146,20459,2020/7/6
22,1491,4213,149,21115,2020/7/7
23,1773,4144,168,21409,2020/7/8
24,2638,5335,187,21526,2020/7/9
25,2528,6803,211,23225,2020/7/10
26,2386,4586,194,25565,2020/7/11
27,2265,5083,188,25137,2020/7/12
28,2358,3832,148,25584,2020/7/13
29,2997,5621,170,25601,2020/7/14
30,2930,5271,189,25733,2020/7/15
31,4428,8037,215,25359,2020/7/16
32,4473,8934,259,26055,2020/7/17
33,5199,8560,228,26422,2020/7/18
34,5957,6578,220,24079,2020/7/19
35,4011,6727,193,26506,2020/7/20
36,3036,7033,237,27131,2020/7/21
37,2773,7390,207,28801,2020/7/22
38,6338,7945,315,28434,2020/7/23
39,5913,7168,287,28567,2020/7/24
40,5803,7254,294,29541,2020/7/25
41,5370,8181,256,30081,2020/7/26
42,6124,8125,252,30312,2020/7/27
43,5529,10284,297,31117,2020/7/28
44,6087,8670,380,32196,2020/7/29
45,5918,9965,356,34880,2020/7/30
46,5692,9488,295,35990,2020/7/31
47,6321,10673,225,36050,2020/8/1
48,6531,11470,320,37666,2020/8/2
49,6488,10199,367,38135,2020/8/3
50,6531,7129,298,37978,2020/8/4
51,6059,10735,309,38264,2020/8/5
52,6038,11996,315,40063,2020/8/6
53,6140,9486,311,40457,2020/8/7
54,6096,9674,290,35076,2020/8/8
55,8097,10611,302,31743,2020/8/9
56,8797,10142,312,33619,2020/8/10
57,8942,12830,321,40101,2020/8/11
58,9358,12066,362,40425,2020/8/12
59,10709,11286,308,40076,2020/8/13
60,10802,11306,347,41434,2020/8/14
61,13124,11578,318,38331,2020/8/15
62,13016,11643,287,40672,2020/8/16
63,14089,8328,275,0,2020/8/17
64,10798,12462,247,0,2020/8/18
65,13975,13056,360,0,2020/8/19
66,12826,11541,204,0,2020/8/20
67,9816,8419,385,0,2020/8/21
68,10852,10965,400,0,2020/8/22
69,14238,8044,348,0,2020/8/23
