,recuperados,nuevos,fallecidos,muestras,date
200,12129,12105,282,0,2021/1/1
201,10425,11528,270,0,2021/1/2
202,11380,9412,200,0,2021/1/3
203,9824,10311,222,0,2021/1/4
204,6833,16835,241,0,2021/1/5
205,10568,16805,295,0,2021/1/6
206,10707,17576,344,0,2021/1/7
207,16875,18221,364,0,2021/1/8
208,12404,15795,353,0,2021/1/9
209,11455,15537,330,0,2021/1/10
210,11595,15003,337,0,2021/1/11
211,14278,14179,331,0,2021/1/12
212,18111,15898,342,0,2021/1/13
213,18832,17121,367,0,2021/1/14
214,14622,21078,377,0,2021/1/15
215,13467,20855,388,0,2021/1/16
216,17709,17379,375,0,2021/1/17
217,24589,14719,373,0,2021/1/18
218,15713,15939,398,0,2021/1/19
219,16235,17908,390,0,2021/1/20
220,14964,15366,395,0,2021/1/21
221,10418,15073,399,0,2021/1/22
222,10757,15551,396,0,2021/1/23
223,9859,12516,392,0,2021/1/24
224,17026,12261,373,0,2021/1/25
225,15710,13606,381,0,2021/1/26
226,15137,13953,395,0,2021/1/27
227,14343,12270,390,0,2021/1/28
228,15407,10058,371,0,2021/1/29
229,14610,9173,366,0,2021/1/30
230,13921,8078,333,0,2021/1/31
231,16352,9622,289,0,2021/2/1
232,16668,10091,304,0,2021/2/2
233,17616,11025,301,0,2021/2/3
234,12177,9790,254,0,2021/2/4
235,9806,7248,272,0,2021/2/5
236,11390,8547,290,0,2021/2/6
237,5002,6009,300,0,2021/2/7
238,6895,4246,297,0,2021/2/8
239,14064,5442,217,0,2021/2/9
240,7176,6443,226,0,2021/2/10
241,9741,6294,250,0,2021/2/11
242,7584,5528,213,0,2021/2/12
243,5598,4947,229,0,2021/2/13
244,5160,4923,180,0,2021/2/14
245,6916,3510,181,0,2021/2/15
246,4638,4049,163,0,2021/2/16
247,4523,5103,185,0,2021/2/17
248,5817,4824,200,0,2021/2/18
249,5117,4476,177,0,2021/2/19
250,4908,5017,174,0,2021/2/20
251,4896,4244,149,0,2021/2/21
252,4329,3401,140,0,2021/2/22
253,4796,3926,144,0,2021/2/23
254,4563,3953,142,0,2021/2/24
255,4139,3683,136,0,2021/2/25
256,3681,3567,122,0,2021/2/26
257,3576,3343,142,0,2021/2/27
258,2799,3555,106,0,2021/2/28
259,3384,3570,100,0,2021/3/1
260,4424,4339,106,0,2021/3/2
261,4498,3047,110,0,2021/3/3
262,3883,3565,107,0,2021/3/4
263,3711,3371,111,0,2021/3/5
264,4269,3663,112,0,2021/3/6
265,4781,3411,91,0,2021/3/7
266,3578,2205,95,0,2021/3/8
267,2858,3511,78,0,2021/3/9
268,3838,3588,97,0,2021/3/10
269,3698,4579,85,0,2021/3/11
270,4398,4078,92,0,2021/3/12
271,3939,4465,96,0,2021/3/13
272,3072,4062,97,0,2021/3/14
273,3630,2740,100,0,2021/3/15
274,3014,3716,125,0,2021/3/16
275,3288,4554,130,0,2021/3/17
276,4433,5139,138,0,2021/3/18
277,4697,5133,135,0,2021/3/19
278,4083,6761,136,0,2021/3/20
279,4470,5963,121,0,2021/3/21
280,5148,5128,120,0,2021/3/22
281,4593,4946,126,0,2021/3/23
282,4586,5986,120,0,2021/3/24
283,5541,6732,125,0,2021/3/25
284,5885,7395,126,0,2021/3/26
285,5425,8254,145,0,2021/3/27
286,6387,7139,165,0,2021/3/28
287,6149,7049,124,0,2021/3/29
288,5931,7952,176,0,2021/3/30
289,5675,8646,167,0,2021/3/31
290,7288,11449,192,0,2021/4/1
291,8084,10222,163,0,2021/4/2
292,8469,9149,155,0,2021/4/3
293,8208,9022,162,0,2021/4/4
294,8269,10190,199,0,2021/4/5
295,10523,11827,231,0,2021/4/6
296,9115,11381,243,0,2021/4/7
297,10361,12464,247,0,2021/4/8
298,9734,12125,269,0,2021/4/9
