,recuperados,nuevos,fallecidos,muestras,date
317,15878,19745,490,0,2021/4/28
318,17944,17308,505,0,2021/4/29
319,18665,17790,490,0,2021/4/30
320,17091,18022,495,0,2021/5/1
321,14195,15909,485,0,2021/5/2
322,20723,11599,464,0,2021/5/3
323,16440,14551,463,0,2021/5/4
324,17183,14806,388,0,2021/5/5
325,18280,16490,399,0,2021/5/6
326,15531,17525,453,0,2021/5/7
327,17559,16910,492,0,2021/5/8
328,13564,17222,495,0,2021/5/9
329,15680,12543,488,0,2021/5/10
330,12599,16425,429,0,2021/5/11
331,11474,16993,490,0,2021/5/12
332,15029,19160,499,0,2021/5/13
333,14334,16581,490,0,2021/5/14
334,13656,18873,530,0,2021/5/15
335,14938,15093,520,0,2021/5/16
336,13696,12984,509,0,2021/5/17
