recuperados,nuevos,fallecidos,muestras
130,2124,59,12564
414,1868,75,12402
960,2115,63,15230
1354,3171,86,15391
1308,3059,95,17713
1511,2357,81,17498
1861,3019,111,18451
1608,2531,73,16015
1491,2389,94,14323
1212,3541,87,16981
1678,3486,163,18501
1588,3843,157,18866
1336,4149,128,18729
2007,3178,167,18140
1674,3274,117,17609
2119,2803,111,17282
1334,4163,136,18054
1124,4101,171,19335
803,3395,136,20595
1229,3884,165,21028
1318,3721,122,21000
2489,3171,146,20459
1491,4213,149,21115
1773,4144,168,21409
2638,5335,187,21526
2528,6803,211,23225
2386,4586,194,25565
2265,5083,188,25137
2358,3832,148,25584
2997,5621,170,25601
2930,5271,189,25733
4428,8037,215,25359
4473,8934,259,26055
5199,8560,228,26422
5957,6578,220,24079
4011,6727,193,26506
3036,7033,237,27131
2773,7390,207,28801
6338,7945,315,28434
5913,7168,287,28567
5803,7254,294,29541
5370,8181,256,30081
6124,8125,252,30312
5529,10284,297,31117
6087,8670,380,32196
5918,9965,356,34880
5692,9488,295,35990
6321,10673,225,36050
6531,11470,320,37666
6488,10199,367,38135
6531,7129,298,37978
6059,10735,309,38264
6038,11996,315,40063
6140,9486,311,40457
6096,9674,290,35076
8097,10611,302,31743
8797,10142,312,33619
8942,12830,321,40101
9358,12066,362,40425
10709,11286,308,40076
10802,11306,347,41434
13124,11578,318,38331
13016,11643,287,40672
14089,8328,275,0
10798,12462,247,0
13975,13056,360,0
12826,11541,204,0
9816,8419,385,0
10852,10965,400,0
14238,8044,348,0
10141,10549,296,0
11299,10432,277,0
11651,10142,295,0
10672,9752,284,0
11827,8498,299,0
10954,9394,297,0
10047,8024,300,0
8854,7230,299,0
10082,8901,389,0
10011,9270,296,0
9583,8235,270,0
9070,8488,270,0
9549,8394,268,0
10459,8065,256,0
11050,5327,203,0
12183,7665,202,0
11323,7343,236,0
16594,7813,222,0
13215,7424,243,0
10126,6876,216,0
6565,7355,190,0
7540,5573,199,0
1053,6698,165,0
2100,7787,190,0
5379,7568,187,0
6064,6526,188,0
6164,7927,186,0
5514,6678,169,0
7701,5359,189,0
9901,7102,173,0
11476,6731,176,0
12684,6555,178,0
12516,7494,179,0
12635,7721,193,0
11360,7018,192,0
11064,5147,153,0
11618,5839,187,0
9499,5637,170,0
8038,5660,198,0
2262,6192,201,0
3848,6616,159,0
3813,6905,156,0
4626,7106,132,0
4512,7650,173,0
3161,7875,163,0
3685,8496,151,0
2889,8121,164,0
2584,8447,165,0
6656,8569,174,0
8609,7767,151,0
8307,5015,156,0
9964,6061,165,0
10164,6823,151,0
10170,8372,159,0
10466,7017,187,0
10827,7201,167,0
9667,6311,132,0
8770,8256,170,0
8164,7561,192,0
8817,8570,172,0
7940,8672,166,0
5727,8769,198,0
8072,8174,154,0
8593,9167,194,0
8838,8166,217,0
8992,8717,188,0
8474,11187,173,0
9085,10029,209,0
9797,11033,179,0
8574,9137,201,0
7992,9935,155,0
8081,6136,177,0
8325,8692,166,0
8964,9893,196,0
9097,9756,196,0
8819,8714,190,0
9000,7440,196,0
8935,5176,183,0
12220,7612,174,0
11186,8651,164,0
11268,8686,179,0
7649,8685,178,0
8236,8307,160,0
7380,7742,202,0
6911,6471,192,0
7035,5911,158,0
6282,6875,182,0
7209,7487,198,0
6188,7954,168,0
6342,7049,175,0
6009,7924,183,0
7965,6562,192,0
8960,7515,198,0
7102,8497,183,0
6794,9496,159,0
7746,10023,195,0
7705,9103,187,0
7248,8763,183,0
6037,8430,182,0
7158,7986,168,0
7988,9297,183,0
7480,9233,188,0
7875,9285,162,0
8712,9642,166,0
7708,8854,175,0
10185,5997,187,0
10731,7510,163,0
9271,7523,150,0
8823,7778,176,0
7879,8998,185,0
6126,8163,197,0
4411,8702,187,0
6633,8742,142,0
6961,10130,161,0
7736,11953,204,0
7653,12196,227,0
10202,13277,232,0
8522,13990,249,0
10789,11160,207,0
9008,10845,205,0
12034,12526,251,0
9794,14233,243,0
13148,14940,280,0
13393,14941,236,0
13332,10196,253,0
11934,9594,228,0
13066,9310,203,0
13976,11015,246,0
14163,11639,289,0
11239,16314,304,0
12129,12105,282,0
10425,11528,270,0
11380,9412,200,0
9824,10311,222,0
6833,16835,241,0
10568,16805,295,0
10707,17576,344,0
16875,18221,364,0
12404,15795,353,0
11455,15537,330,0
11595,15003,337,0
14278,14179,331,0
18111,15898,342,0
18832,17121,367,0
14622,21078,377,0
13467,20855,388,0
17709,17379,375,0
24589,14719,373,0
15713,15939,398,0
16235,17908,390,0
14964,15366,395,0
10418,15073,399,0
10757,15551,396,0
9859,12516,392,0
17026,12261,373,0
15710,13606,381,0
15137,13953,395,0
14343,12270,390,0
15407,10058,371,0
14610,9173,366,0
13921,8078,333,0
16352,9622,289,0
16668,10091,304,0
17616,11025,301,0
12177,9790,254,0
9806,7248,272,0
11390,8547,290,0
5002,6009,300,0
6895,4246,297,0
14064,5442,217,0
7176,6443,226,0
9741,6294,250,0
7584,5528,213,0
5598,4947,229,0
5160,4923,180,0
6916,3510,181,0
4638,4049,163,0
4523,5103,185,0
5817,4824,200,0
5117,4476,177,0
4908,5017,174,0
4896,4244,149,0
4329,3401,140,0
4796,3926,144,0
4563,3953,142,0
4139,3683,136,0
3681,3567,122,0
3576,3343,142,0
2799,3555,106,0
3384,3570,100,0
4424,4339,106,0
4498,3047,110,0
3883,3565,107,0
3711,3371,111,0
4269,3663,112,0
4781,3411,91,0
3578,2205,95,0
2858,3511,78,0
3838,3588,97,0
3698,4579,85,0
4398,4078,92,0
3939,4465,96,0
3072,4062,97,0
3630,2740,100,0
3014,3716,125,0
3288,4554,130,0
4433,5139,138,0
4697,5133,135,0
4083,6761,136,0
4470,5963,121,0
5148,5128,120,0
4593,4946,126,0
4586,5986,120,0
5541,6732,125,0
5885,7395,126,0
5425,8254,145,0
6387,7139,165,0
6149,7049,124,0
5931,7952,176,0
5675,8646,167,0
7288,11449,192,0
8084,10222,163,0
8469,9149,155,0
8208,9022,162,0
8269,10190,199,0
10523,11827,231,0
9115,11381,243,0
10361,12464,247,0
9734,12125,269,0
9610,14509,325,0
8609,17483,281,0
11948,16739,267,0
12891,16377,326,0
10641,16487,337,0
12796,16918,380,0
10392,16703,365,0
15435,16654,367,0
13610,16871,397,0
16748,14189,420,0
17492,16965,429,0
16206,17212,419,0
16076,19306,430,0
17599,19925,420,0
18038,16730,440,0
14547,17190,465,0
14285,12839,448,0
14332,17578,436,0
15878,19745,490,0
17944,17308,505,0
18665,17790,490,0
17091,18022,495,0
14195,15909,485,0
20723,11599,464,0
16440,14551,463,0
17183,14806,388,0
18280,16490,399,0
15531,17525,453,0
17559,16910,492,0
13564,17222,495,0
15680,12543,488,0
12599,16425,429,0
11474,16993,490,0
15029,19160,499,0
14334,16581,490,0
13656,18873,530,0
14938,15093,520,0
13696,12984,509,0
16381,13137,482,0
13652,16579,452,0
17920,16086,490,0
18890,14838,486,0
13111,18737,509,0
15043,21669,496,0
19870,16977,483,0
17183,21181,459,0
15635,23487,514,0
22425,25092,513,0
20498,23374,514,0
19661,20494,540,0
12412,20218,535,0
15612,23177,492,0
23833,25966,523,0
25214,27000,511,0
23440,28624,545,0
25040,30000,537,0
23496,28971,532,0
20141,24050,539,0
29806,21949,535,0
24507,18586,427,0
20536,24233,550,0
23490,29302,573,0
26033,29570,569,0
22068,29998,577,0
20539,28519,586,0
